encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,E_process_single_J,P_process_W,t_process_single_s
x265,1080p,Boat_2k,32,medium,0.573038,71223.86,34.7868,38.3253,39.7025,35.315188,953.7683105,42.00179,22.707801
x265,1080p,Boat_2k,32,superfast,0.574071,71352.25,34.6628,38.2512,39.5712,35.19385,858.60177575,42.127445,20.381055
x265,1080p,Boat_2k,32,ultrafast,0.590803,73431.88,34.3344,38.2662,39.5826,34.90815,228.5691166,41.917523,5.45283
x265,1080p,Boat_2k,32,veryfast,0.573349,71262.56,34.7798,38.328,39.7025,35.309231,901.06875325,42.013511,21.447119
x265,1080p,Boat_2k,37,fast,0.329925,41006.89,31.4238,36.981,38.3116,32.201612,780.616136,42.445889,18.390854
x265,1080p,Boat_2k,37,faster,0.329913,41005.48,31.4238,36.981,38.3116,32.201612,780.6867835,42.409229,18.408417
x265,1080p,Boat_2k,37,medium,0.330502,41078.63,31.4306,36.9837,38.3214,32.208344,828.6678494,42.476533,19.508839
x265,1080p,Boat_2k,37,superfast,0.330882,41125.84,31.3303,36.9286,38.2168,32.1106,750.475862,42.874894,17.503853
x265,1080p,Boat_2k,37,ultrafast,0.338093,42022.16,31.0401,37.0396,38.3296,31.870663,200.5433468,42.521767,4.716252
x265,1080p,Boat_2k,37,veryfast,0.329913,41005.48,31.4238,36.981,38.3116,32.201612,782.75849425,42.413834,18.455264
x265,4K,BoxingPractice_4k,22,fast,0.391053,194418.7,43.6444,48.0462,47.5886,44.166025,3688.716216,42.4869188813896,86.8200451602
x265,4K,BoxingPractice_4k,22,faster,0.39105,194417.28,43.6444,48.0462,47.5886,44.166025,3679.65609683333,42.4819823389286,86.6168642385
x265,4K,BoxingPractice_4k,22,medium,0.389989,193889.58,43.6475,48.0469,47.5903,44.168888,3901.9150905,42.4911758581218,91.82883296825
x265,4K,BoxingPractice_4k,22,superfast,0.390214,194001.45,43.6209,47.9935,47.5447,44.139425,3484.39481871429,42.4419319476282,82.0979314281429
x265,4K,BoxingPractice_4k,22,ultrafast,0.40568,201690.81,43.4504,47.9633,47.5162,43.986569,920.775301666667,42.0470427372512,21.8986935043333
x265,4K,BoxingPractice_4k,22,veryfast,0.39105,194417.28,43.6444,48.0462,47.5886,44.166025,3683.5076602,42.4640755507407,86.7440916216
x265,4K,BoxingPractice_4k,27,fast,0.174887,86948.07,41.7373,45.9482,45.4085,42.229931,2935.1578908,43.4131579515312,67.6098682818
x265,4K,BoxingPractice_4k,27,faster,0.174884,86946.66,41.7373,45.9482,45.4085,42.229931,2928.04128625,43.2763257412503,67.65919324475
x265,4K,BoxingPractice_4k,27,medium,0.174449,86730.01,41.7407,45.9531,45.4124,42.233456,3110.54502533333,43.3570655560308,71.7425172908333
x265,4K,BoxingPractice_4k,27,superfast,0.175307,87156.69,41.7017,45.9075,45.3794,42.194419,2804.4094315,43.6338362280418,64.27143872575
x265,4K,BoxingPractice_4k,27,ultrafast,0.185478,92213.7,41.5497,45.9635,45.4331,42.068275,747.198323166667,43.2950368442139,17.2582905023333
x265,4K,BoxingPractice_4k,27,veryfast,0.174884,86946.66,41.7373,45.9482,45.4085,42.229931,2932.26736818182,43.3980838475418,67.5667473818182
x265,4K,BoxingPractice_4k,32,fast,0.096582,48017.5,40.082,44.1219,43.5207,40.549413,2460.2903938,44.2472056497155,55.603294212
x265,4K,BoxingPractice_4k,32,faster,0.096579,48016.09,40.082,44.1219,43.5207,40.549413,2454.3890902,44.1405657195395,55.6039337102
x265,4K,BoxingPractice_4k,32,medium,0.096343,47898.56,40.0861,44.1194,43.5208,40.55285,2562.0626182,44.0694380017661,58.1369478344
x265,4K,BoxingPractice_4k,32,superfast,0.096858,48154.39,40.0424,44.1025,43.5097,40.512862,2369.76573266667,44.0393975320961,53.8101305981667
x265,4K,BoxingPractice_4k,32,ultrafast,0.101843,50632.86,39.8368,44.2355,43.6337,40.349025,651.834843857143,44.0433055246011,14.7998620015714
x265,4K,BoxingPractice_4k,32,veryfast,0.096579,48016.09,40.082,44.1219,43.5207,40.549413,2448.12153576923,44.1091516838963,55.5014422701539
x265,4K,BoxingPractice_4k,37,fast,0.057384,28529.57,38.0554,42.6074,42.0236,38.587912,2198.871495,44.4455893371163,49.4733342002
x265,4K,BoxingPractice_4k,37,faster,0.057381,28528.15,38.0554,42.6074,42.0236,38.587912,2199.05822075,44.2939645459139,49.64690434225
x265,4K,BoxingPractice_4k,37,medium,0.057474,28573.94,38.0595,42.6124,42.0285,38.592119,2270.39834725,44.3578170110578,51.18372589625
x265,4K,BoxingPractice_4k,37,superfast,0.057788,28730.17,38.0275,42.6035,42.021,38.563094,2147.24533683333,44.5691570364473,48.1778314783333
x265,4K,BoxingPractice_4k,37,ultrafast,0.060148,29903.56,37.8135,42.7756,42.1828,38.396713,606.239608,44.426535291167,13.6458898725
x265,4K,BoxingPractice_4k,37,veryfast,0.057381,28528.15,38.0554,42.6074,42.0236,38.587912,2199.2926185,44.4261336168379,49.504479446
x265,720p,ControlledBurn_720p,22,fast,1.38724,38354.4,42.3972,47.8828,47.3849,43.051781,447.9030282,41.1468677460054,10.8854708204
x265,720p,ControlledBurn_720p,22,faster,1.387214,38353.68,42.3972,47.8828,47.3849,43.051781,447.1017852,41.1210978183092,10.8728076078
x265,720p,ControlledBurn_720p,22,medium,1.385773,38313.84,42.4108,47.8721,47.3772,43.062531,476.454448666667,41.1560161187854,11.5767873958333
x265,720p,ControlledBurn_720p,22,superfast,1.38684,38343.36,42.3618,47.8172,47.3384,43.0138,418.4821198,41.2427052317389,10.146815478
x265,720p,ControlledBurn_720p,22,ultrafast,1.459748,40359.12,41.8475,47.9774,47.4807,42.582694,111.404255833333,40.4518876036253,2.75399400208333
x265,720p,ControlledBurn_720p,22,veryfast,1.387214,38353.68,42.3972,47.8828,47.3849,43.051781,443.46387675,40.8951748750867,10.8439168705
x265,720p,ControlledBurn_720p,27,fast,0.905451,25033.92,38.5532,45.2137,44.7382,39.356044,391.665929,41.2373119374344,9.497853051
x265,720p,ControlledBurn_720p,27,faster,0.905425,25033.2,38.5532,45.2137,44.7382,39.356044,392.1568698,41.0356801427302,9.5564851962
x265,720p,ControlledBurn_720p,27,medium,0.90572,25041.36,38.5618,45.2107,44.7305,39.3629,415.354503,40.7648592640687,10.1890331648
x265,720p,ControlledBurn_720p,27,superfast,0.905668,25039.92,38.4959,45.1579,44.6855,39.299125,371.503187,42.2725808371292,8.7882778776
x265,720p,ControlledBurn_720p,27,ultrafast,0.954679,26394.96,38.0097,45.5848,45.0408,38.922587,100.326433666667,41.5396197530052,2.41519865283333
x265,720p,ControlledBurn_720p,27,veryfast,0.905425,25033.2,38.5532,45.2137,44.7382,39.356044,393.254507,40.3772900493778,9.73949728966667
x265,720p,ControlledBurn_720p,32,fast,0.554045,15318.24,34.7794,42.8727,42.5061,35.76815,343.66116875,41.3174682642819,8.31757566925
x265,720p,ControlledBurn_720p,32,faster,0.554019,15317.52,34.7794,42.8727,42.5061,35.76815,344.3742282,41.7541482931022,8.2476650172
x265,720p,ControlledBurn_720p,32,medium,0.553438,15301.44,34.7865,42.8672,42.487,35.772825,364.7715885,42.1901044914565,8.645903889
x265,720p,ControlledBurn_720p,32,superfast,0.553733,15309.6,34.7072,42.8182,42.4614,35.698775,327.3603314,42.5185659205026,7.6992326602
x265,720p,ControlledBurn_720p,32,ultrafast,0.577439,15965.04,34.2373,43.4613,43.0144,35.362369,89.3040318888889,41.9174673816793,2.13047298577778
x265,720p,ControlledBurn_720p,32,veryfast,0.554019,15317.52,34.7794,42.8727,42.5061,35.76815,343.64015675,41.7573083330214,8.22946139175
x265,720p,ControlledBurn_720p,37,fast,0.314271,8688.96,31.3133,41.1086,40.9044,32.52495,302.754181,42.2079802697275,7.1729132516
x265,720p,ControlledBurn_720p,37,faster,0.314245,8688.24,31.3133,41.1086,40.9044,32.52495,302.7347356,42.1236193921316,7.1868168018
x265,720p,ControlledBurn_720p,37,medium,0.314384,8692.08,31.3154,41.0941,40.8987,32.525525,318.9847424,42.2004655672208,7.55879676
x265,720p,ControlledBurn_720p,37,superfast,0.313932,8679.6,31.2508,41.0627,40.8745,32.465525,289.5945348,42.9836004602168,6.737326136
