value,unit,event,time,percent,metric,metric_desc,vendor,config,config_id,preset,qp,sequence,src_res,fps,bit,chroma,enc_res,target_fps,frames,test_type
65327352.0,,dtlb-load-misses,238896276363.0,45.46,3.48,of all dTLB cache accesses,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
,,dtlb-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
,,dtlb-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
1585795836144.0,,instructions,105533508959.0,45.45,2.15,insn per cycle,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
736093974928.0,,cycles,105515150358.0,45.44,,,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
23713474624.0,,cache-references,105533989256.0,45.45,,,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
1219754959.0,,cache-misses,105559530581.0,45.46,5.144,of all cache refs,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
530680264578.0,,l1-dcache-loads,105588794792.0,45.47,,,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
5753284684.0,,l1-dcache-load-misses,105613361362.0,45.48,1.08,of all L1-dcache accesses,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
,,l1-dcache-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
802960016.0,,l1-icache-load-misses,105633491287.0,45.5,,,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
,,llc-loads,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
,,llc-load-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
,,llc-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
,,llc-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
158466159002.0,,branch-instructions,105615925970.0,45.49,,,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
6937988163.0,,branch-misses,105594959660.0,45.48,4.38,of all branches,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
445625824.0,,dtlb-loads,105575332015.0,45.47,,,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
24258919.0,,dtlb-load-misses,105554949115.0,45.46,5.44,of all dTLB cache accesses,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
,,dtlb-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
,,dtlb-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,CrowdRun,1920x1080,,,,1920x1080,50,130,extended
1386348710096.0,,instructions,77306535451.0,45.45,2.28,insn per cycle,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
607793621252.0,,cycles,77265457192.0,45.43,,,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
22865811839.0,,cache-references,77256865104.0,45.43,,,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
1161227952.0,,cache-misses,77284545667.0,45.45,5.078,of all cache refs,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
485097111081.0,,l1-dcache-loads,77316414043.0,45.47,,,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
5657514527.0,,l1-dcache-load-misses,77350144576.0,45.49,1.17,of all L1-dcache accesses,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
,,l1-dcache-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
704245886.0,,l1-icache-load-misses,77394038345.0,45.52,,,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
,,llc-loads,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
,,llc-load-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
,,llc-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
,,llc-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
138672981450.0,,branch-instructions,77413273952.0,45.52,,,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
5550356746.0,,branch-misses,77395777406.0,45.51,4.0,of all branches,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
509033133.0,,dtlb-loads,77372673576.0,45.5,,,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
23068331.0,,dtlb-load-misses,77343263533.0,45.47,4.53,of all dTLB cache accesses,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
,,dtlb-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
,,dtlb-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,DinnerSceneCropped,1920x1080,2997,8,420,1920x1080,30,130,extended
4305052952926.0,,instructions,253836956310.0,45.46,2.35,insn per cycle,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
1828874716218.0,,cycles,253816661802.0,45.45,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
86576647262.0,,cache-references,253808355995.0,45.45,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
4678944061.0,,cache-misses,253827637352.0,45.45,5.404,of all cache refs,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
1571810982410.0,,l1-dcache-loads,253866510408.0,45.46,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
22002729847.0,,l1-dcache-load-misses,253898177952.0,45.47,1.4,of all L1-dcache accesses,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
,,l1-dcache-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
