index,qp,preset,seqname,config,E_hw_slow,instructions,cycles,branches,branch-misses,cache-references,cache-misses,l1-dcache-loads,l1-dcache-load-misses,l1-dcache-stores,l1-icache-load-misses,llc-loads,llc-load-misses,llc-stores,llc-store-misses,dtlb-loads,dtlb-load-misses,dtlb-stores,dtlb-store-misses
34,27,fast,CrowdRun,A,7.0286,1.61965E+12,9.21408E+11,1.34322E+11,6995214923,1984654595,183192070,4.15393E+11,4763888709,1.73328E+11,13293294674,694418851,101229233,541228415,110211504,4.14918E+11,28360332,1.72992E+11,13151863
35,27,fast,DinnerSceneCropped,A,6.3581,1.03904E+12,5.86488E+11,1.02774E+11,4088869783,2267317169,178979076,2.81962E+11,4906062426,1.28673E+11,2954885221,553996719,96971757,397098334,79478128,2.8174E+11,31678902,1.28452E+11,9767432
36,27,fast,FoodMarket,A,13.2135,1.00668E+12,5.62483E+11,99732594623,4074181059,2262926621,175734977,2.72838E+11,4825371521,1.24799E+11,2662519518,561945979,94990557,387682049,77008217,2.72598E+11,28063781,1.24639E+11,9787551
37,27,fast,FoodMarket2,A,6.3553,3.60038E+12,2.01399E+12,3.53362E+11,13047913910,8942355025,679908126,9.8626E+11,19728538788,4.54421E+11,10676895920,2260363435,386024765,1571297870,286252227,9.85279E+11,98352912,4.53724E+11,29003788
38,27,fast,MeridianTalk_sdr,A,6.3492,9.90701E+11,5.57594E+11,82875105292,2805372567,1860431658,168286525,2.72762E+11,4154519884,1.17199E+11,10392308183,610059312,99346129,498409252,94848952,2.7243E+11,24703243,1.16948E+11,9594627
39,27,fast,Motorcycle,A,7.0063,1.07168E+12,6.12325E+11,1.05884E+11,4833118352,2213039947,188409130,2.81485E+11,4720950422,1.26159E+11,2835788761,533109911,102974993,397070936,84402545,2.81099E+11,33142522,1.25916E+11,10394686
40,27,fast,MountainBike,A,7.0351,1.10344E+12,6.29607E+11,1.08965E+11,5109279329,2249252155,195215756,2.90291E+11,4816597215,1.305E+11,2749578360,559028053,104868701,390211309,87641035,2.89963E+11,35710263,1.3035E+11,11647433
41,27,fast,Neon1224,A,12.9711,3.08949E+12,1.41867E+12,2.99369E+11,9376888692,1691272292,1348647581,8.50421E+11,17501170097,3.84399E+11,29328515453,287694291,244443720,277755744,231976135,8.49839E+11,24916869,3.83745E+11,13213677
42,27,fast,NocturneDance_3840x2160p_8bit,A,13.2943,3.25197E+12,1.83325E+12,3.17751E+11,11122412482,9085459048,630768184,8.91043E+11,19051909044,4.09035E+11,10569736939,2336361236,363876712,1598816692,271622912,8.90207E+11,97770528,4.0811E+11,28422184
43,27,fast,OldTownCross,A,7.1214,1.24621E+12,6.16993E+11,1.22045E+11,5690110781,690971786,503599975,3.30386E+11,4895988412,1.47102E+11,9150734842,99208440,82754302,114376759,94064537,3.29746E+11,11735138,1.46657E+11,6733084
44,27,fast,PedestrianArea,A,6.3449,8.49676E+11,4.71864E+11,83812462322,2979141286,2175848722,161564999,2.33079E+11,4527727624,1.06775E+11,2583175906,530562905,87931359,386346085,71561868,2.32762E+11,29026501,1.06564E+11,10194601
45,27,fast,PierSeaSide,A,13.27,3.24941E+12,1.77684E+12,3.21434E+11,10382768119,8165855288,607578757,8.91977E+11,17892984776,4.0826E+11,9686556580,1996092195,350524006,1484196959,256711555,8.90977E+11,91106423,4.07499E+11,25349567
46,27,fast,RitualDance,A,6.3314,8.97167E+11,5.07351E+11,74642690443,2542173656,1744870873,161002897,2.4677E+11,3925836074,1.05962E+11,9531159576,567061320,94821360,479143408,90864072,2.46387E+11,23632726,1.05801E+11,9059114
47,27,fast,Riverbed,A,6.4041,1.00563E+12,5.71765E+11,98664963590,4010172785,2335166792,182542645,2.73251E+11,4883046448,1.25821E+11,2871027743,596400940,100654240,392906793,79305842,2.72888E+11,36922638,1.25551E+11,9503944
48,27,fast,RushFieldCuts,A,7.0206,1.08443E+12,6.20352E+11,1.06965E+11,4805803606,2253754362,181693693,2.88857E+11,4825599549,1.31202E+11,2848899650,556475616,95550858,406169034,83805709,2.88783E+11,30606157,1.31055E+11,10223646
49,27,fast,Skater227,A,6.3504,1265598,1684049,,,28289,6985,806533,42970,302263,7968,16974,3097,,,,,,
50,27,fast,Tango,A,13.3681,4.40024E+12,2.4898E+12,3.65782E+11,13301680460,8002537501,691482316,1.20568E+12,18591791373,5.18E+11,46709231380,2668696620,432741191,2018071310,368145456,1.20437E+12,99126390,5.16994E+11,39287783
51,27,fast,TimeLapse,A,13.0925,3.38426E+12,1.86867E+12,3.3275E+11,11765494984,8646567284,617673538,9.2524E+11,18671045715,4.23023E+11,10128704557,2153643769,354353636,1527248014,262864992,9.24076E+11,102030607,4.22165E+11,27817225
52,27,fast,ToddlerFountain,A,7.0285,1.1305E+12,6.41341E+11,1.12367E+11,5291775062,2255192581,184778731,2.98968E+11,4846124991,1.34418E+11,2774830589,553789517,100218184,411931393,85975231,2.98633E+11,32202989,1.34217E+11,10315266
53,27,fast,TreesAndGrass_1920_1080,A,7.1124,1.32686E+12,6.71379E+11,1.30598E+11,6685167391,647581464,504380684,3.40014E+11,4826309787,1.48885E+11,8962786046,96836341,80993260,115996129,97237445,3.39316E+11,11775050,1.48468E+11,6894986
54,27,fast,TunnelFlag,A,6.3523,1.15944E+12,6.59582E+11,95273962731,4041463574,1850559487,158851679,3.10049E+11,4399675140,1.31924E+11,11777585289,642210677,89340984,513906362,92114323,3.09876E+11,24684238,1.31683E+11,10397240
55,27,fast,Vertical_Carnaby,A,6.3751,7.26464E+11,4.01371E+11,70857895373,2159637761,2108159122,150550342,2.00433E+11,4225878693,91709353552,2440706392,501091696,82516991,374468315,67051691,2.00307E+11,24831955,91572398304,8597290
56,27,fast,Vertical_bees,A,6.4061,8.19825E+11,3.8526E+11,79073345657,2755211230,562482962,398183360,2.24608E+11,4328777541,1.01589E+11,7839312894,82605895,67514340,85209832,68966680,2.24004E+11,6757034,1.0131E+11,4876775
57,27,fast,WalkingInStreet,A,7.2329,1.28988E+12,7.27367E+11,1.27874E+11,6068576513,2171027433,203685680,3.28594E+11,4686228160,1.44039E+11,2861735746,534147487,105766972,401521372,95816004,3.28055E+11,33084743,1.4374E+11,12079124
58,27,fast,WorldCup_1920x1080_30p,A,6.3472,7.25865E+11,3.95792E+11,71127803217,2242514199,1949870051,147553714,1.99756E+11,4271393963,90870691980,2254011504,458623551,83275147,365851421,63642881,1.99518E+11,28030346,90723786550,7709741
59,27,fast,WorldCup_far_1920x1080_30p,A,7.0531,1.16606E+12,6.74395E+11,95587716114,4298926484,2032349479,182708164,3.114E+11,4410552186,1.32543E+11,11975049730,658906152,103749298,540079965,111708527,3.10877E+11,29548431,1.322E+11,12061603
60,32,fast,Aerial3200,A,6.3725,1.01899E+12,5.76252E+11,99375197415,4123243417,2131092314,181078300,2.71058E+11,4789452296,1.22169E+11,2806335572,532615737,103837562,382400234,76478715,2.70781E+11,26555952,1.22008E+11,9038595
61,32,fast,Boat,A,6.3672,1.0234E+12,5.78478E+11,1.00972E+11,4379793017,2197840689,173758036,2.73858E+11,4670257868,1.24246E+11,2681758788,548912607,93890111,397212952,80261513,2.73542E+11,28884413,1.24031E+11,10185424
62,32,fast,BoxingPractice,A,13.0006,2.87417E+12,1.28111E+12,2.79998E+11,7435471569,1635167435,1272734486,7.98243E+11,16925201197,3.60529E+11,27222831138,280679319,240086660,274322403,219323006,7.96641E+11,22124886,3.5957E+11,12671418
63,32,fast,Crosswalk,A,12.9114,2.84797E+12,1.49846E+12,2.85405E+11,7214880856,8180987172,576459646,7.9269E+11,16791157748,3.63582E+11,8594073394,2029846301,336356142,1429612921,234763327,7.91739E+11,86631763,3.63028E+11,22041413
64,32,fast,CrowdRun,A,7.072,1.10431E+12,6.3279E+11,1.09805E+11,5022155354,2151489212,193878803,2.94112E+11,4767671671,1.33057E+11,2671251007,529931198,104134588,393257571,86737951,2.93246E+11,38028195,1.32625E+11,13173784
65,32,fast,DinnerSceneCropped,A,6.2705,7.75209E+11,4.19742E+11,78619623416,2298404552,2177634208,150056545,2.15239E+11,4236270864,99128635227,2437273333,541462147,84140660,377611018,66463679,2.14771E+11,29466738,98883642316,9475124
66,32,fast,FoodMarket,A,13.2082,8.2591E+11,3.8343E+11,80910577425,2653647177,478717268,366902043,2.2774E+11,4267392147,1.03516E+11,7623467285,78018600,64038275,79229937,64580942,2.27309E+11,8335526,1.03283E+11,4447994
67,32,fast,FoodMarket2,A,6.3658,3.16879E+12,1.74899E+12,3.11038E+11,10074870685,8608725488,608957227,8.74422E+11,18460598740,4.02363E+11,10063304452,2173215589,349525396,1544087156,259150966,8.73853E+11,94794340,4.01751E+11,26140419
68,32,fast,MeridianTalk_sdr,A,6.3348,7.04764E+11,3.72488E+11,70110729768,1805005333,1970509750,139390339,1.95738E+11,3992459942,89494981165,2141377700,473841957,75972565,361200771,60542257,1.95295E+11,24540298,89237543607,6982442
69,32,fast,Motorcycle,A,7.0665,9.47311E+11,5.33138E+11,93407923808,3921896991,2056914546,175738368,2.5276E+11,4515373262,1.13858E+11,2534498119,494427165,97382711,381385813,79511300,2.52434E+11,28033094,1.13615E+11,9257748
70,32,fast,MountainBike,A,6.9826,9.71982E+11,5.48099E+11,95912868448,4068438155,2140292041,168160995,2.60012E+11,4592985037,1.17702E+11,2678046380,499443148,91290025,386859627,75312577,2.59591E+11,29664851,1.17413E+11,9879336
71,32,fast,Neon1224,A,12.957,2.7756E+12,1.23916E+12,2.67868E+11,7080414385,1672268062,1260062325,7.68644E+11,16613395246,3.45553E+11,26716263331,279796933,234239365,259665729,207543951,7.67599E+11,18449530,3.44838E+11,11485963
72,32,fast,NocturneDance_3840x2160p_8bit,A,13.2215,3.5083E+12,1.99462E+12,2.85568E+11,9147673763,7071565239,612450378,9.76216E+11,17492250613,4.16918E+11,40960072542,2404285535,382631213,1904940819,321914679,9.74942E+11,78087451,4.1606E+11,31020043
73,32,fast,OldTownCross,A,6.3166,9.26347E+11,4.39024E+11,91660889206,3393567834,565872787,410317923,2.52457E+11,4364075836,1.14151E+11,7709585975,85046497,70285876,90118613,73900050,2.52093E+11,9037328,1.13879E+11,5208038
74,32,fast,PedestrianArea,A,6.359,7.36723E+11,3.99662E+11,72538120158,2169518544,2035384173,157565573,2.03766E+11,4189236726,93135224714,2275191536,496702936,88574405,368986982,66994685,2.03498E+11,30878817,92985378168,8712836
75,32,fast,PierSeaSide,A,13.3017,2.8511E+12,1.50868E+12,2.80814E+11,7627588610,7764575532,558961002,7.88251E+11,16818092274,3.59418E+11,8401154352,1956588353,322481395,1410836170,228103388,7.86768E+11,88336406,3.58496E+11,22328112
76,32,fast,RitualDance,A,6.3146,6.76508E+11,3.61269E+11,66769706973,1814541934,1984912566,143601595,1.87206E+11,3922054287,84954942134,2103582592,488409917,81075489,364468877,62384324,1.87294E+11,24515543,84966100058,7339643
77,32,fast,Riverbed,A,6.3958,8.60368E+11,4.0373E+11,83368758053,2847401158,502478705,380308374,2.37137E+11,4458629229,1.08323E+11,8186205544,84089951,66645803,81558710,66990808,2.3671E+11,8989867,1.08071E+11,4796850
78,32,fast,RushFieldCuts,A,7.0422,9.3043E+11,5.25792E+11,91412593150,3688968404,2384913248,176499995,2.51931E+11,4702730127,1.15041E+11,2715124381,594405986,95367776,417955612,82094582,2.51222E+11,32829294,1.14666E+11,11424366
79,32,fast,Skater227,A,6.3241,1040951,3670804,,,29025,18799,805019,41886,297451,23897,5037,1463,,,,,,
80,32,fast,Tango,A,13.2135,2.98545E+12,1.3365E+12,2.95072E+11,7887112092,1679238829,1292416724,8.31182E+11,17252021667,3.77928E+11,27827124021,300133798,249016577,278207744,223743628,8.30103E+11,21664353,3.77072E+11,13051739
81,32,fast,TimeLapse,A,13.1057,2.97376E+12,1.60534E+12,2.92031E+11,8834326419,8450912238,591919579,8.19897E+11,17774405452,3.74475E+11,9137881046,2119719264,339939784,1533755276,249261815,8.19226E+11,85097912,3.73866E+11,24555560
82,32,fast,ToddlerFountain,A,6.6525,9.56648E+11,5.30253E+11,94628948770,3834669658,2113906787,166436273,2.58275E+11,4594264100,1.17282E+11,2508154810,516008635,92490526,387681372,76541920,2.57764E+11,29560042,1.17039E+11,9384075
83,32,fast,TreesAndGrass_1920_1080,A,7.0828,1.17699E+12,6.68797E+11,1.17105E+11,5658646166,2257616660,191631320,3.07496E+11,4795690282,1.37179E+11,2816095986,566380660,101432020,399526321,86829064,3.07328E+11,31064455,1.37067E+11,11275904
84,32,fast,TunnelFlag,A,6.3698,8.14065E+11,4.50655E+11,80181703838,2801018328,2110562985,155808264,2.22642E+11,4348016322,1.01311E+11,2536592610,512451432,84218412,377035479,68486129,2.22364E+11,26400426,1.01104E+11,9110002
85,32,fast,Vertical_Carnaby,A,6.3654,6.66909E+11,3.59643E+11,65100028511,1677508436,1964206193,135421187,1.84751E+11,3984346120,84091778455,2247296401,448292745,74135030,364850272,59884057,1.8467E+11,22607997,83974850085,7762878
86,32,fast,Vertical_bees,A,6.4079,7.46064E+11,4.12826E+11,73006592808,2278172106,1976375881,155395630,2.0534E+11,4205522719,93808279385,2298003455,470296649,82491090,363792541,67502361,2.04878E+11,23748272,93481295513,9727771
87,32,fast,WalkingInStreet,A,7.1539,1.12068E+12,5.4191E+11,1.09186E+11,4722554781,558633957,437922841,2.93662E+11,4381289087,1.29815E+11,8803942541,82227371,69043322,101175956,82379744,2.93049E+11,10876000,1.29448E+11,5655690
88,32,fast,WorldCup_1920x1080_30p,A,6.3585,6.65864E+11,3.56803E+11,65120223533,1797207030,1938518619,141298636,1.84145E+11,3976724584,83395134964,2096802078,478595384,80131115,352659873,60773672,1.83814E+11,24111744,83256856813,6822763
89,32,fast,WorldCup_far_1920x1080_30p,A,6.3898,8.4477E+11,4.02288E+11,81624438345,3035756165,525795853,383398370,2.30631E+11,4323526463,1.04121E+11,8073441812,82620502,62417053,94992552,71294160,2.3019E+11,9433533,1.03822E+11,5499235
90,37,fast,Aerial3200,A,6.3831,9.06292E+11,5.08691E+11,88163419044,3244946507,2161192740,170367046,2.44783E+11,4748880199,1.10995E+11,2707689407,541790632,99305823,384411680,71262350,2.44283E+11,24203821,1.10706E+11,8036941
91,37,fast,Boat,A,6.3417,8.96619E+11,4.97186E+11,88463043456,3388848070,2142074526,160373653,2.43881E+11,4575679062,1.11497E+11,2462775864,528774092,88597592,387708325,73041983,2.43467E+11,29109508,1.11202E+11,8747523
92,37,fast,BoxingPractice,A,13.0209,2.64699E+12,1.38145E+12,2.61084E+11,6070486375,7577349788,525405379,7.35391E+11,16405708738,3.34443E+11,8199107310,1815028851,308055553,1402844392,216771086,7.35256E+11,71155667,3.34096E+11,19681907
93,37,fast,Crosswalk,A,12.9536,3.19408E+12,1.73049E+12,2.67886E+11,6682537714,6654655658,560770407,8.97947E+11,15662962265,3.85058E+11,30846128828,2191362338,351999591,1817044031,281480219,8.96874E+11,142333279,3.84633E+11,28324275
