sequence,qp,preset,metric,A_value,B_value,delta_B_minus_A,relative_change_B_over_A
MeridianTalk_sdr,32,superfast,dtlb-loads,192483884896.0,,,
Motorcycle,32,superfast,dtlb-loads,246313037190.0,,,
MountainBike,32,superfast,dtlb-loads,252363997964.0,,,
Neon1224,32,superfast,dtlb-loads,757850489353.0,,,
NocturneDance_3840x2160p_8bit,32,superfast,dtlb-loads,775657891854.0,,,
OldTownCross,32,superfast,dtlb-loads,242493005294.0,,,
PedestrianArea,32,superfast,dtlb-loads,200197947158.0,,,
PierSeaSide,32,superfast,dtlb-loads,774545005460.0,,,
RitualDance,32,superfast,dtlb-loads,184312212742.0,,,
Riverbed,32,superfast,dtlb-loads,278919335802.0,,,
RushFieldCuts,32,superfast,dtlb-loads,244385014841.0,,,
Skater227,32,superfast,dtlb-loads,,,,
Tango,32,superfast,dtlb-loads,810534718425.0,,,
TimeLapse,32,superfast,dtlb-loads,977174369965.0,,,
ToddlerFountain,32,superfast,dtlb-loads,249554079412.0,,,
TreesAndGrass_1920_1080,32,superfast,dtlb-loads,294166718876.0,,,
TunnelFlag,32,superfast,dtlb-loads,218974160420.0,,,
Vertical_Carnaby,32,superfast,dtlb-loads,182309040003.0,,,
Vertical_bees,32,superfast,dtlb-loads,201642416370.0,,,
WalkingInStreet,32,superfast,dtlb-loads,290331922659.0,,,
WorldCup_1920x1080_30p,32,superfast,dtlb-loads,181543778894.0,,,
WorldCup_far_1920x1080_30p,32,superfast,dtlb-loads,226462878099.0,,,
Aerial3200,37,superfast,dtlb-loads,242150866750.0,,,
Boat,37,superfast,dtlb-loads,236030817272.0,,,
BoxingPractice,37,superfast,dtlb-loads,727296673716.0,,,
Crosswalk,37,superfast,dtlb-loads,728242037357.0,,,
CrowdRun,37,superfast,dtlb-loads,298887031720.0,,,
DinnerSceneCropped,37,superfast,dtlb-loads,182425017569.0,,,
FoodMarket,37,superfast,dtlb-loads,199197374567.0,,,
FoodMarket2,37,superfast,dtlb-loads,787217718464.0,,,
MeridianTalk_sdr,37,superfast,dtlb-loads,217268232904.0,,,
Motorcycle,37,superfast,dtlb-loads,222831028748.0,,,
MountainBike,37,superfast,dtlb-loads,227833134900.0,,,
Neon1224,37,superfast,dtlb-loads,700672026042.0,,,
NocturneDance_3840x2160p_8bit,37,superfast,dtlb-loads,711128096813.0,,,
OldTownCross,37,superfast,dtlb-loads,209870823177.0,,,
PedestrianArea,37,superfast,dtlb-loads,184892768823.0,,,
PierSeaSide,37,superfast,dtlb-loads,709597598747.0,,,
RitualDance,37,superfast,dtlb-loads,172517368997.0,,,
Riverbed,37,superfast,dtlb-loads,207414300393.0,,,
RushFieldCuts,37,superfast,dtlb-loads,217677627537.0,,,
Skater227,37,superfast,dtlb-loads,,,,
Tango,37,superfast,dtlb-loads,749290055447.0,,,
TimeLapse,37,superfast,dtlb-loads,737212866920.0,,,
ToddlerFountain,37,superfast,dtlb-loads,217771782071.0,,,
TreesAndGrass_1920_1080,37,superfast,dtlb-loads,264546371431.0,,,
TunnelFlag,37,superfast,dtlb-loads,239935749102.0,,,
Vertical_Carnaby,37,superfast,dtlb-loads,172007439357.0,,,
Vertical_bees,37,superfast,dtlb-loads,188536874610.0,,,
WalkingInStreet,37,superfast,dtlb-loads,256750315900.0,,,
WorldCup_1920x1080_30p,37,superfast,dtlb-loads,171602157983.0,,,
WorldCup_far_1920x1080_30p,37,superfast,dtlb-loads,206634403686.0,,,
Aerial3200,22,veryfast,dtlb-loads,334773845294.0,,,
Boat,22,veryfast,dtlb-loads,343961643291.0,,,
BoxingPractice,22,veryfast,dtlb-loads,1121543566567.0,,,
Crosswalk,22,veryfast,dtlb-loads,1124580661797.0,,,
CrowdRun,22,veryfast,dtlb-loads,399028983958.0,,,
DinnerSceneCropped,22,veryfast,dtlb-loads,362747200197.0,,,
FoodMarket,22,veryfast,dtlb-loads,343585515040.0,,,
FoodMarket2,22,veryfast,dtlb-loads,1405148632379.0,,,
MeridianTalk_sdr,22,veryfast,dtlb-loads,282444783510.0,,,
Motorcycle,22,veryfast,dtlb-loads,373655119823.0,,,
MountainBike,22,veryfast,dtlb-loads,319937987775.0,,,
Neon1224,22,veryfast,dtlb-loads,947470902621.0,,,
NocturneDance_3840x2160p_8bit,22,veryfast,dtlb-loads,1006657783825.0,,,
OldTownCross,22,veryfast,dtlb-loads,407159407814.0,,,
PedestrianArea,22,veryfast,dtlb-loads,288931800173.0,,,
PierSeaSide,22,veryfast,dtlb-loads,1054480612222.0,,,
RitualDance,22,veryfast,dtlb-loads,226334648177.0,,,
Riverbed,22,veryfast,dtlb-loads,325571798164.0,,,
RushFieldCuts,22,veryfast,dtlb-loads,322271447762.0,,,
Skater227,22,veryfast,dtlb-loads,,,,
Tango,22,veryfast,dtlb-loads,1267626802963.0,,,
TimeLapse,22,veryfast,dtlb-loads,1071270211725.0,,,
ToddlerFountain,22,veryfast,dtlb-loads,345705596070.0,,,
TreesAndGrass_1920_1080,22,veryfast,dtlb-loads,371519478260.0,,,
TunnelFlag,22,veryfast,dtlb-loads,297098333166.0,,,
Vertical_Carnaby,22,veryfast,dtlb-loads,219719091889.0,,,
Vertical_bees,22,veryfast,dtlb-loads,247232816804.0,,,
WalkingInStreet,22,veryfast,dtlb-loads,351379240369.0,,,
WorldCup_1920x1080_30p,22,veryfast,dtlb-loads,220088511244.0,,,
WorldCup_far_1920x1080_30p,22,veryfast,dtlb-loads,285788466179.0,,,
Aerial3200,27,veryfast,dtlb-loads,301476920255.0,,,
Boat,27,veryfast,dtlb-loads,308867886820.0,,,
BoxingPractice,27,veryfast,dtlb-loads,923771337212.0,,,
Crosswalk,27,veryfast,dtlb-loads,900973967605.0,,,
CrowdRun,27,veryfast,dtlb-loads,344405967805.0,,,
DinnerSceneCropped,27,veryfast,dtlb-loads,281711882025.0,,,
FoodMarket,27,veryfast,dtlb-loads,272438944266.0,,,
FoodMarket2,27,veryfast,dtlb-loads,985452928416.0,,,
MeridianTalk_sdr,27,veryfast,dtlb-loads,272334325298.0,,,
Motorcycle,27,veryfast,dtlb-loads,281248140556.0,,,
MountainBike,27,veryfast,dtlb-loads,289746862064.0,,,
Neon1224,27,veryfast,dtlb-loads,850182338459.0,,,
NocturneDance_3840x2160p_8bit,27,veryfast,dtlb-loads,1093595924353.0,,,
OldTownCross,27,veryfast,dtlb-loads,329911118992.0,,,
PedestrianArea,27,veryfast,dtlb-loads,232310624786.0,,,
PierSeaSide,27,veryfast,dtlb-loads,890154705677.0,,,
RitualDance,27,veryfast,dtlb-loads,203242330493.0,,,
Riverbed,27,veryfast,dtlb-loads,272527269936.0,,,
RushFieldCuts,27,veryfast,dtlb-loads,288551638345.0,,,
Skater227,27,veryfast,dtlb-loads,,,,
Tango,27,veryfast,dtlb-loads,986459504161.0,,,
TimeLapse,27,veryfast,dtlb-loads,923625154477.0,,,
ToddlerFountain,27,veryfast,dtlb-loads,298404583789.0,,,
TreesAndGrass_1920_1080,27,veryfast,dtlb-loads,407163708609.0,,,
TunnelFlag,27,veryfast,dtlb-loads,255359942526.0,,,
Vertical_Carnaby,27,veryfast,dtlb-loads,200087001898.0,,,
Vertical_bees,27,veryfast,dtlb-loads,224290221777.0,,,
WalkingInStreet,27,veryfast,dtlb-loads,328214685576.0,,,
WorldCup_1920x1080_30p,27,veryfast,dtlb-loads,199529387786.0,,,
WorldCup_far_1920x1080_30p,27,veryfast,dtlb-loads,256869052953.0,,,
Aerial3200,32,veryfast,dtlb-loads,270919709063.0,,,
Boat,32,veryfast,dtlb-loads,273457878879.0,,,
BoxingPractice,32,veryfast,dtlb-loads,797525095821.0,,,
Crosswalk,32,veryfast,dtlb-loads,791933203062.0,,,
CrowdRun,32,veryfast,dtlb-loads,293505411627.0,,,
DinnerSceneCropped,32,veryfast,dtlb-loads,214785064453.0,,,
FoodMarket,32,veryfast,dtlb-loads,227309178788.0,,,
FoodMarket2,32,veryfast,dtlb-loads,1070552974623.0,,,
MeridianTalk_sdr,32,veryfast,dtlb-loads,238326750361.0,,,
Motorcycle,32,veryfast,dtlb-loads,252518854914.0,,,
MountainBike,32,veryfast,dtlb-loads,259362087391.0,,,
Neon1224,32,veryfast,dtlb-loads,768355361384.0,,,
NocturneDance_3840x2160p_8bit,32,veryfast,dtlb-loads,789164293044.0,,,
OldTownCross,32,veryfast,dtlb-loads,252211520296.0,,,
PedestrianArea,32,veryfast,dtlb-loads,203490378413.0,,,
PierSeaSide,32,veryfast,dtlb-loads,787166373319.0,,,
RitualDance,32,veryfast,dtlb-loads,186851175962.0,,,
Riverbed,32,veryfast,dtlb-loads,236873913666.0,,,
RushFieldCuts,32,veryfast,dtlb-loads,251400169608.0,,,
Skater227,32,veryfast,dtlb-loads,,,,
Tango,32,veryfast,dtlb-loads,830529221283.0,,,
TimeLapse,32,veryfast,dtlb-loads,819101341729.0,,,
ToddlerFountain,32,veryfast,dtlb-loads,257853429107.0,,,
TreesAndGrass_1920_1080,32,veryfast,dtlb-loads,306845727920.0,,,
TunnelFlag,32,veryfast,dtlb-loads,270591456130.0,,,
Vertical_Carnaby,32,veryfast,dtlb-loads,184231725692.0,,,
Vertical_bees,32,veryfast,dtlb-loads,205019456188.0,,,
WalkingInStreet,32,veryfast,dtlb-loads,293352403077.0,,,
WorldCup_1920x1080_30p,32,veryfast,dtlb-loads,225190528150.0,,,
WorldCup_far_1920x1080_30p,32,veryfast,dtlb-loads,280658643558.0,,,
Aerial3200,37,veryfast,dtlb-loads,244556333719.0,,,
Boat,37,veryfast,dtlb-loads,243391565232.0,,,
BoxingPractice,37,veryfast,dtlb-loads,734427971782.0,,,
Crosswalk,37,veryfast,dtlb-loads,734516883483.0,,,
CrowdRun,37,veryfast,dtlb-loads,254356096335.0,,,
DinnerSceneCropped,37,veryfast,dtlb-loads,183794924709.0,,,
FoodMarket,37,veryfast,dtlb-loads,203781276547.0,,,
FoodMarket2,37,veryfast,dtlb-loads,800404346204.0,,,
MeridianTalk_sdr,37,veryfast,dtlb-loads,180636984723.0,,,
Motorcycle,37,veryfast,dtlb-loads,228133712776.0,,,
MountainBike,37,veryfast,dtlb-loads,233503386763.0,,,
Neon1224,37,veryfast,dtlb-loads,706665111689.0,,,
NocturneDance_3840x2160p_8bit,37,veryfast,dtlb-loads,720756617324.0,,,
OldTownCross,37,veryfast,dtlb-loads,213771299950.0,,,
PedestrianArea,37,veryfast,dtlb-loads,187790478542.0,,,
PierSeaSide,37,veryfast,dtlb-loads,718156055021.0,,,
RitualDance,37,veryfast,dtlb-loads,174263416083.0,,,
Riverbed,37,veryfast,dtlb-loads,213806807921.0,,,
RushFieldCuts,37,veryfast,dtlb-loads,222685366269.0,,,
Skater227,37,veryfast,dtlb-loads,,,,
Tango,37,veryfast,dtlb-loads,757984910216.0,,,
TimeLapse,37,veryfast,dtlb-loads,749775324912.0,,,
ToddlerFountain,37,veryfast,dtlb-loads,223614386307.0,,,
TreesAndGrass_1920_1080,37,veryfast,dtlb-loads,275629380261.0,,,
TunnelFlag,37,veryfast,dtlb-loads,243814753509.0,,,
Vertical_Carnaby,37,veryfast,dtlb-loads,173728695061.0,,,
Vertical_bees,37,veryfast,dtlb-loads,190675767817.0,,,
WalkingInStreet,37,veryfast,dtlb-loads,259900922959.0,,,
WorldCup_1920x1080_30p,37,veryfast,dtlb-loads,173170308269.0,,,
WorldCup_far_1920x1080_30p,37,veryfast,dtlb-loads,209710841380.0,,,
Aerial3200,22,fast,dtlb-store-misses,11621025.0,,,
Boat,22,fast,dtlb-store-misses,12715056.0,,,
BoxingPractice,22,fast,dtlb-store-misses,32235809.0,,,
Crosswalk,22,fast,dtlb-store-misses,31678493.0,,,
CrowdRun,22,fast,dtlb-store-misses,15415162.0,,,
DinnerSceneCropped,22,fast,dtlb-store-misses,14103567.0,,,
FoodMarket,22,fast,dtlb-store-misses,12257250.0,,,
FoodMarket2,22,fast,dtlb-store-misses,32643210.0,,,
MeridianTalk_sdr,22,fast,dtlb-store-misses,10873339.0,,,
Motorcycle,22,fast,dtlb-store-misses,6380141.0,,,
MountainBike,22,fast,dtlb-store-misses,12685962.0,,,
Neon1224,22,fast,dtlb-store-misses,37061581.0,,,
NocturneDance_3840x2160p_8bit,22,fast,dtlb-store-misses,48098084.0,,,
OldTownCross,22,fast,dtlb-store-misses,14695620.0,,,
PedestrianArea,22,fast,dtlb-store-misses,10984717.0,,,
PierSeaSide,22,fast,dtlb-store-misses,31546524.0,,,
RitualDance,22,fast,dtlb-store-misses,4759716.0,,,
Riverbed,22,fast,dtlb-store-misses,11775731.0,,,
RushFieldCuts,22,fast,dtlb-store-misses,13153010.0,,,
Skater227,22,fast,dtlb-store-misses,,,,
Tango,22,fast,dtlb-store-misses,33474997.0,,,
TimeLapse,22,fast,dtlb-store-misses,29660612.0,,,
ToddlerFountain,22,fast,dtlb-store-misses,12765796.0,,,
TreesAndGrass_1920_1080,22,fast,dtlb-store-misses,13957465.0,,,
TunnelFlag,22,fast,dtlb-store-misses,13268729.0,,,
Vertical_Carnaby,22,fast,dtlb-store-misses,11337255.0,,,
Vertical_bees,22,fast,dtlb-store-misses,9598853.0,,,
WalkingInStreet,22,fast,dtlb-store-misses,15524488.0,,,
WorldCup_1920x1080_30p,22,fast,dtlb-store-misses,4377768.0,,,
WorldCup_far_1920x1080_30p,22,fast,dtlb-store-misses,5867041.0,,,
Aerial3200,27,fast,dtlb-store-misses,9727497.0,,,
Boat,27,fast,dtlb-store-misses,11155343.0,,,
BoxingPractice,27,fast,dtlb-store-misses,14236111.0,,,
Crosswalk,27,fast,dtlb-store-misses,14347070.0,,,
CrowdRun,27,fast,dtlb-store-misses,13151863.0,,,
DinnerSceneCropped,27,fast,dtlb-store-misses,9767432.0,,,
FoodMarket,27,fast,dtlb-store-misses,9787551.0,,,
FoodMarket2,27,fast,dtlb-store-misses,29003788.0,,,
MeridianTalk_sdr,27,fast,dtlb-store-misses,9594627.0,,,
Motorcycle,27,fast,dtlb-store-misses,10394686.0,,,
MountainBike,27,fast,dtlb-store-misses,11647433.0,,,
Neon1224,27,fast,dtlb-store-misses,13213677.0,,,
NocturneDance_3840x2160p_8bit,27,fast,dtlb-store-misses,28422184.0,,,
OldTownCross,27,fast,dtlb-store-misses,6733084.0,,,
PedestrianArea,27,fast,dtlb-store-misses,10194601.0,,,
PierSeaSide,27,fast,dtlb-store-misses,25349567.0,,,
RitualDance,27,fast,dtlb-store-misses,9059114.0,,,
Riverbed,27,fast,dtlb-store-misses,9503944.0,,,
RushFieldCuts,27,fast,dtlb-store-misses,10223646.0,,,
Skater227,27,fast,dtlb-store-misses,,,,
Tango,27,fast,dtlb-store-misses,39287783.0,,,
TimeLapse,27,fast,dtlb-store-misses,27817225.0,,,
ToddlerFountain,27,fast,dtlb-store-misses,10315266.0,,,
TreesAndGrass_1920_1080,27,fast,dtlb-store-misses,6894986.0,,,
TunnelFlag,27,fast,dtlb-store-misses,10397240.0,,,
Vertical_Carnaby,27,fast,dtlb-store-misses,8597290.0,,,
Vertical_bees,27,fast,dtlb-store-misses,4876775.0,,,
WalkingInStreet,27,fast,dtlb-store-misses,12079124.0,,,
WorldCup_1920x1080_30p,27,fast,dtlb-store-misses,7709741.0,,,
WorldCup_far_1920x1080_30p,27,fast,dtlb-store-misses,12061603.0,,,
Aerial3200,32,fast,dtlb-store-misses,9038595.0,,,
Boat,32,fast,dtlb-store-misses,10185424.0,,,
BoxingPractice,32,fast,dtlb-store-misses,12671418.0,,,
Crosswalk,32,fast,dtlb-store-misses,22041413.0,,,
CrowdRun,32,fast,dtlb-store-misses,13173784.0,,,
DinnerSceneCropped,32,fast,dtlb-store-misses,9475124.0,,,
FoodMarket,32,fast,dtlb-store-misses,4447994.0,,,
FoodMarket2,32,fast,dtlb-store-misses,26140419.0,,,
MeridianTalk_sdr,32,fast,dtlb-store-misses,6982442.0,,,
Motorcycle,32,fast,dtlb-store-misses,9257748.0,,,
MountainBike,32,fast,dtlb-store-misses,9879336.0,,,
Neon1224,32,fast,dtlb-store-misses,11485963.0,,,
NocturneDance_3840x2160p_8bit,32,fast,dtlb-store-misses,31020043.0,,,
OldTownCross,32,fast,dtlb-store-misses,5208038.0,,,
PedestrianArea,32,fast,dtlb-store-misses,8712836.0,,,
PierSeaSide,32,fast,dtlb-store-misses,22328112.0,,,
RitualDance,32,fast,dtlb-store-misses,7339643.0,,,
Riverbed,32,fast,dtlb-store-misses,4796850.0,,,
RushFieldCuts,32,fast,dtlb-store-misses,11424366.0,,,
Skater227,32,fast,dtlb-store-misses,,,,
Tango,32,fast,dtlb-store-misses,13051739.0,,,
TimeLapse,32,fast,dtlb-store-misses,24555560.0,,,
ToddlerFountain,32,fast,dtlb-store-misses,9384075.0,,,
TreesAndGrass_1920_1080,32,fast,dtlb-store-misses,11275904.0,,,
TunnelFlag,32,fast,dtlb-store-misses,9110002.0,,,
Vertical_Carnaby,32,fast,dtlb-store-misses,7762878.0,,,
Vertical_bees,32,fast,dtlb-store-misses,9727771.0,,,
WalkingInStreet,32,fast,dtlb-store-misses,5655690.0,,,
WorldCup_1920x1080_30p,32,fast,dtlb-store-misses,6822763.0,,,
WorldCup_far_1920x1080_30p,32,fast,dtlb-store-misses,5499235.0,,,
Aerial3200,37,fast,dtlb-store-misses,8036941.0,,,
Boat,37,fast,dtlb-store-misses,8747523.0,,,
BoxingPractice,37,fast,dtlb-store-misses,19681907.0,,,
Crosswalk,37,fast,dtlb-store-misses,28324275.0,,,
CrowdRun,37,fast,dtlb-store-misses,9510901.0,,,
DinnerSceneCropped,37,fast,dtlb-store-misses,6497644.0,,,
FoodMarket,37,fast,dtlb-store-misses,4397212.0,,,
FoodMarket2,37,fast,dtlb-store-misses,32340692.0,,,
MeridianTalk_sdr,37,fast,dtlb-store-misses,6826431.0,,,
Motorcycle,37,fast,dtlb-store-misses,8955680.0,,,
MountainBike,37,fast,dtlb-store-misses,9391607.0,,,
Neon1224,37,fast,dtlb-store-misses,33831815.0,,,
NocturneDance_3840x2160p_8bit,37,fast,dtlb-store-misses,21406584.0,,,
OldTownCross,37,fast,dtlb-store-misses,4368798.0,,,
PedestrianArea,37,fast,dtlb-store-misses,7146001.0,,,
PierSeaSide,37,fast,dtlb-store-misses,28724529.0,,,
RitualDance,37,fast,dtlb-store-misses,6549823.0,,,
Riverbed,37,fast,dtlb-store-misses,10310435.0,,,
RushFieldCuts,37,fast,dtlb-store-misses,10182913.0,,,
Skater227,37,fast,dtlb-store-misses,,,,
Tango,37,fast,dtlb-store-misses,32191325.0,,,
TimeLapse,37,fast,dtlb-store-misses,21609177.0,,,
ToddlerFountain,37,fast,dtlb-store-misses,4692364.0,,,
TreesAndGrass_1920_1080,37,fast,dtlb-store-misses,5586470.0,,,
TunnelFlag,37,fast,dtlb-store-misses,8501720.0,,,
Vertical_Carnaby,37,fast,dtlb-store-misses,7672169.0,,,
Vertical_bees,37,fast,dtlb-store-misses,8411314.0,,,
WalkingInStreet,37,fast,dtlb-store-misses,11569272.0,,,
WorldCup_1920x1080_30p,37,fast,dtlb-store-misses,3599386.0,,,
WorldCup_far_1920x1080_30p,37,fast,dtlb-store-misses,8224621.0,,,
Aerial3200,22,faster,dtlb-store-misses,12024380.0,,,
Boat,22,faster,dtlb-store-misses,12698843.0,,,
BoxingPractice,22,faster,dtlb-store-misses,33479286.0,,,
Crosswalk,22,faster,dtlb-store-misses,33855562.0,,,
CrowdRun,22,faster,dtlb-store-misses,14878191.0,,,
DinnerSceneCropped,22,faster,dtlb-store-misses,7065864.0,,,
FoodMarket,22,faster,dtlb-store-misses,13414647.0,,,
FoodMarket2,22,faster,dtlb-store-misses,39937537.0,,,
MeridianTalk_sdr,22,faster,dtlb-store-misses,11406792.0,,,
Motorcycle,22,faster,dtlb-store-misses,11309167.0,,,
MountainBike,22,faster,dtlb-store-misses,12508435.0,,,
Neon1224,22,faster,dtlb-store-misses,29245973.0,,,
NocturneDance_3840x2160p_8bit,22,faster,dtlb-store-misses,30042629.0,,,
OldTownCross,22,faster,dtlb-store-misses,14778064.0,,,
PedestrianArea,22,faster,dtlb-store-misses,10105277.0,,,
PierSeaSide,22,faster,dtlb-store-misses,29785522.0,,,
RitualDance,22,faster,dtlb-store-misses,8343023.0,,,
Riverbed,22,faster,dtlb-store-misses,11622301.0,,,
RushFieldCuts,22,faster,dtlb-store-misses,12034169.0,,,
Skater227,22,faster,dtlb-store-misses,,,,
Tango,22,faster,dtlb-store-misses,33345188.0,,,
TimeLapse,22,faster,dtlb-store-misses,41799628.0,,,
ToddlerFountain,22,faster,dtlb-store-misses,14117396.0,,,
TreesAndGrass_1920_1080,22,faster,dtlb-store-misses,13015568.0,,,
TunnelFlag,22,faster,dtlb-store-misses,11997805.0,,,
Vertical_Carnaby,22,faster,dtlb-store-misses,9832241.0,,,
Vertical_bees,22,faster,dtlb-store-misses,4883535.0,,,
WalkingInStreet,22,faster,dtlb-store-misses,14553220.0,,,
WorldCup_1920x1080_30p,22,faster,dtlb-store-misses,9383896.0,,,
WorldCup_far_1920x1080_30p,22,faster,dtlb-store-misses,11687548.0,,,
Aerial3200,27,faster,dtlb-store-misses,9904870.0,,,
Boat,27,faster,dtlb-store-misses,12016701.0,,,
BoxingPractice,27,faster,dtlb-store-misses,14200480.0,,,
Crosswalk,27,faster,dtlb-store-misses,25828308.0,,,
CrowdRun,27,faster,dtlb-store-misses,15270615.0,,,
DinnerSceneCropped,27,faster,dtlb-store-misses,5500301.0,,,
FoodMarket,27,faster,dtlb-store-misses,11364915.0,,,
FoodMarket2,27,faster,dtlb-store-misses,29229185.0,,,
MeridianTalk_sdr,27,faster,dtlb-store-misses,8973078.0,,,
Motorcycle,27,faster,dtlb-store-misses,12666860.0,,,
MountainBike,27,faster,dtlb-store-misses,11162660.0,,,
Neon1224,27,faster,dtlb-store-misses,25170812.0,,,
NocturneDance_3840x2160p_8bit,27,faster,dtlb-store-misses,13485906.0,,,
OldTownCross,27,faster,dtlb-store-misses,13337123.0,,,
PedestrianArea,27,faster,dtlb-store-misses,9679925.0,,,
PierSeaSide,27,faster,dtlb-store-misses,26162093.0,,,
RitualDance,27,faster,dtlb-store-misses,9171869.0,,,
Riverbed,27,faster,dtlb-store-misses,9854606.0,,,
RushFieldCuts,27,faster,dtlb-store-misses,13970588.0,,,
Skater227,27,faster,dtlb-store-misses,,,,
Tango,27,faster,dtlb-store-misses,28758881.0,,,
TimeLapse,27,faster,dtlb-store-misses,36178572.0,,,
ToddlerFountain,27,faster,dtlb-store-misses,5718017.0,,,
TreesAndGrass_1920_1080,27,faster,dtlb-store-misses,13855448.0,,,
TunnelFlag,27,faster,dtlb-store-misses,10569704.0,,,
Vertical_Carnaby,27,faster,dtlb-store-misses,8858906.0,,,
Vertical_bees,27,faster,dtlb-store-misses,4747589.0,,,
WalkingInStreet,27,faster,dtlb-store-misses,12450043.0,,,
WorldCup_1920x1080_30p,27,faster,dtlb-store-misses,7307204.0,,,
WorldCup_far_1920x1080_30p,27,faster,dtlb-store-misses,10607012.0,,,
Aerial3200,32,faster,dtlb-store-misses,8934505.0,,,
Boat,32,faster,dtlb-store-misses,7841663.0,,,
BoxingPractice,32,faster,dtlb-store-misses,24918612.0,,,
Crosswalk,32,faster,dtlb-store-misses,34259724.0,,,
CrowdRun,32,faster,dtlb-store-misses,11403937.0,,,
DinnerSceneCropped,32,faster,dtlb-store-misses,4087316.0,,,
FoodMarket,32,faster,dtlb-store-misses,10608716.0,,,
FoodMarket2,32,faster,dtlb-store-misses,25134375.0,,,
MeridianTalk_sdr,32,faster,dtlb-store-misses,7230585.0,,,
Motorcycle,32,faster,dtlb-store-misses,10212163.0,,,
MountainBike,32,faster,dtlb-store-misses,10138276.0,,,
Neon1224,32,faster,dtlb-store-misses,22582861.0,,,
NocturneDance_3840x2160p_8bit,32,faster,dtlb-store-misses,23528603.0,,,
OldTownCross,32,faster,dtlb-store-misses,8774172.0,,,
PedestrianArea,32,faster,dtlb-store-misses,8852722.0,,,
PierSeaSide,32,faster,dtlb-store-misses,26410702.0,,,
RitualDance,32,faster,dtlb-store-misses,7363102.0,,,
Riverbed,32,faster,dtlb-store-misses,8478541.0,,,
RushFieldCuts,32,faster,dtlb-store-misses,4812166.0,,,
Skater227,32,faster,dtlb-store-misses,,,,
Tango,32,faster,dtlb-store-misses,22934414.0,,,
TimeLapse,32,faster,dtlb-store-misses,22960299.0,,,
ToddlerFountain,32,faster,dtlb-store-misses,11581354.0,,,
TreesAndGrass_1920_1080,32,faster,dtlb-store-misses,11933252.0,,,
TunnelFlag,32,faster,dtlb-store-misses,9426962.0,,,
Vertical_Carnaby,32,faster,dtlb-store-misses,8560342.0,,,
Vertical_bees,32,faster,dtlb-store-misses,9100256.0,,,
WalkingInStreet,32,faster,dtlb-store-misses,11230261.0,,,
WorldCup_1920x1080_30p,32,faster,dtlb-store-misses,8713247.0,,,
WorldCup_far_1920x1080_30p,32,faster,dtlb-store-misses,9353459.0,,,
Aerial3200,37,faster,dtlb-store-misses,8360412.0,,,
Boat,37,faster,dtlb-store-misses,10000006.0,,,
BoxingPractice,37,faster,dtlb-store-misses,20377074.0,,,
Crosswalk,37,faster,dtlb-store-misses,30316714.0,,,
CrowdRun,37,faster,dtlb-store-misses,11459036.0,,,
DinnerSceneCropped,37,faster,dtlb-store-misses,8755877.0,,,
FoodMarket,37,faster,dtlb-store-misses,10164879.0,,,
FoodMarket2,37,faster,dtlb-store-misses,23438583.0,,,
MeridianTalk_sdr,37,faster,dtlb-store-misses,6758534.0,,,
Motorcycle,37,faster,dtlb-store-misses,9243524.0,,,
MountainBike,37,faster,dtlb-store-misses,8735782.0,,,
Neon1224,37,faster,dtlb-store-misses,33519380.0,,,
NocturneDance_3840x2160p_8bit,37,faster,dtlb-store-misses,24922901.0,,,
OldTownCross,37,faster,dtlb-store-misses,4623332.0,,,
PedestrianArea,37,faster,dtlb-store-misses,7446712.0,,,
PierSeaSide,37,faster,dtlb-store-misses,29425662.0,,,
RitualDance,37,faster,dtlb-store-misses,3588925.0,,,
Riverbed,37,faster,dtlb-store-misses,8061089.0,,,
RushFieldCuts,37,faster,dtlb-store-misses,4881389.0,,,
Skater227,37,faster,dtlb-store-misses,,,,
Tango,37,faster,dtlb-store-misses,21006270.0,,,
TimeLapse,37,faster,dtlb-store-misses,23160482.0,,,
ToddlerFountain,37,faster,dtlb-store-misses,8279939.0,,,
TreesAndGrass_1920_1080,37,faster,dtlb-store-misses,5682527.0,,,
TunnelFlag,37,faster,dtlb-store-misses,8546425.0,,,
Vertical_Carnaby,37,faster,dtlb-store-misses,3734593.0,,,
Vertical_bees,37,faster,dtlb-store-misses,8786001.0,,,
WalkingInStreet,37,faster,dtlb-store-misses,12718571.0,,,
WorldCup_1920x1080_30p,37,faster,dtlb-store-misses,6859811.0,,,
WorldCup_far_1920x1080_30p,37,faster,dtlb-store-misses,10837160.0,,,
Aerial3200,22,superfast,dtlb-store-misses,10062459.0,,,
Boat,22,superfast,dtlb-store-misses,9511474.0,,,
BoxingPractice,22,superfast,dtlb-store-misses,28750683.0,,,
Crosswalk,22,superfast,dtlb-store-misses,21369094.0,,,
CrowdRun,22,superfast,dtlb-store-misses,10550383.0,,,
DinnerSceneCropped,22,superfast,dtlb-store-misses,4932841.0,,,
FoodMarket,22,superfast,dtlb-store-misses,8948803.0,,,
FoodMarket2,22,superfast,dtlb-store-misses,23935021.0,,,
MeridianTalk_sdr,22,superfast,dtlb-store-misses,8162952.0,,,
Motorcycle,22,superfast,dtlb-store-misses,8526830.0,,,
MountainBike,22,superfast,dtlb-store-misses,4594733.0,,,
Neon1224,22,superfast,dtlb-store-misses,20195881.0,,,
NocturneDance_3840x2160p_8bit,22,superfast,dtlb-store-misses,10491450.0,,,
