video_name,qp,preset,bitrate_kbps,psnr_y,psnr_u,psnr_v
PierSeaSide_4k,32,veryfast,15578.80,42.1574,44.0186,42.7489
PierSeaSide_4k,37,veryfast,9565.82,39.7565,42.5250,41.6058
PierSeaSide_4k,22,faster,49042.02,45.8780,47.7139,45.8498
PierSeaSide_4k,27,faster,26502.75,44.1986,45.8447,44.1416
PierSeaSide_4k,32,faster,15578.80,42.1574,44.0186,42.7489
PierSeaSide_4k,37,faster,9565.82,39.7565,42.5250,41.6058
PierSeaSide_4k,22,fast,49042.71,45.8780,47.7139,45.8498
PierSeaSide_4k,27,fast,26503.45,44.1986,45.8447,44.1416
PierSeaSide_4k,32,fast,15579.50,42.1574,44.0186,42.7489
PierSeaSide_4k,37,fast,9566.52,39.7565,42.5250,41.6058
PierSeaSide_4k,22,medium,48925.09,45.8808,47.7189,45.8525
PierSeaSide_4k,27,medium,26476.54,44.2018,45.8406,44.1378
PierSeaSide_4k,32,medium,15573.70,42.1626,44.0152,42.7464
PierSeaSide_4k,37,medium,9519.66,39.7543,42.5201,41.6071
PierSeaSide_4k,22,slow,42221.45,45.6810,47.4593,45.4909
PierSeaSide_4k,27,slow,23554.73,43.9837,45.4759,43.7788
PierSeaSide_4k,32,slow,13774.07,41.8752,43.5088,42.3115
PierSeaSide_4k,37,slow,8339.47,39.3753,41.9072,41.0983
PierSeaSide_4k,22,slower,42108.00,45.6896,47.4599,45.4906
PierSeaSide_4k,27,slower,23523.64,43.9978,45.4752,43.7838
PierSeaSide_4k,32,slower,13810.73,41.8888,43.5131,42.3160
PierSeaSide_4k,37,slower,8343.65,39.3947,41.9280,41.1060
PierSeaSide_4k,22,veryslow,42108.70,45.6896,47.4599,45.4906
PierSeaSide_4k,27,veryslow,23524.34,43.9978,45.4752,43.7838
PierSeaSide_4k,32,veryslow,13811.42,41.8888,43.5131,42.3160
PierSeaSide_4k,37,veryslow,8344.34,39.3947,41.9280,41.1060
PierSeaSide_4k,22,placebo,42210.08,45.6883,47.4631,45.4931
PierSeaSide_4k,27,placebo,23515.99,43.9976,45.4785,43.7833
PierSeaSide_4k,32,placebo,13835.32,41.8863,43.5260,42.3201
PierSeaSide_4k,37,placebo,8384.25,39.3892,41.9270,41.1140
Tango_4k,22,ultrafast,195721.42,41.8853,48.9071,47.6588
Tango_4k,27,ultrafast,63216.85,40.2881,47.7293,46.0278
Tango_4k,32,ultrafast,32140.37,39.3442,46.3969,44.4555
Tango_4k,37,ultrafast,19338.31,38.1581,45.1517,43.1149
Tango_4k,22,superfast,191848.66,41.9379,48.8111,47.5514
Tango_4k,27,superfast,62341.76,40.3228,47.6872,46.0002
