encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv
x265,4K,Neon1224_4k,32,slower,0.092018,22874.040000,40.940700,44.540200,44.149600,41.366225
x265,4K,Neon1224_4k,37,slower,0.054772,13615.380000,38.392800,42.534200,42.024500,38.878619
x265,4K,Neon1224_4k,22,veryslow,0.312094,77581.270000,46.469500,49.882800,49.621700,46.879844
x265,4K,Neon1224_4k,27,veryslow,0.163806,40719.480000,43.575800,47.152900,46.767700,43.998863
x265,4K,Neon1224_4k,32,veryslow,0.092020,22874.740000,40.940700,44.540200,44.149600,41.366225
x265,4K,Neon1224_4k,37,veryslow,0.054775,13616.080000,38.392800,42.534200,42.024500,38.878619
x265,4K,Neon1224_4k,22,placebo,0.311554,77447.170000,46.467700,49.889100,49.630000,46.879181
x265,4K,Neon1224_4k,27,placebo,0.163794,40716.470000,43.573700,47.163100,46.778600,43.998344
x265,4K,Neon1224_4k,32,placebo,0.092116,22898.400000,40.937100,44.553100,44.160900,41.364587
x265,4K,Neon1224_4k,37,placebo,0.054816,13626.290000,38.381200,42.552500,42.025200,38.869656
x265,4K,NocturneDance_4k,22,ultrafast,0.433370,215672.660000,47.042500,44.239500,47.358700,46.887075
x265,4K,NocturneDance_4k,27,ultrafast,0.241513,120192.480000,44.138400,41.367600,45.191500,44.031044
x265,4K,NocturneDance_4k,32,ultrafast,0.130262,64826.880000,41.079000,39.290800,43.661700,41.128656
x265,4K,NocturneDance_4k,37,ultrafast,0.068332,34006.560000,38.152200,37.880400,42.669600,38.417550
x265,4K,NocturneDance_4k,22,superfast,0.417378,207714.250000,47.331900,44.521900,47.627800,47.174769
x265,4K,NocturneDance_4k,27,superfast,0.233738,116323.200000,44.422200,41.581700,45.331500,44.301500
x265,4K,NocturneDance_4k,32,superfast,0.128222,63811.680000,41.384600,39.444600,43.727800,41.409800
x265,4K,NocturneDance_4k,37,superfast,0.068305,33993.120000,38.401400,37.978000,42.696800,38.643400
x265,4K,NocturneDance_4k,22,veryfast,0.417880,207963.860000,47.397100,44.556100,47.671500,47.236688
x265,4K,NocturneDance_4k,27,veryfast,0.233798,116352.960000,44.475100,41.609000,45.365300,44.351606
x265,4K,NocturneDance_4k,32,veryfast,0.128361,63880.800000,41.431300,39.461900,43.751700,41.453238
x265,4K,NocturneDance_4k,37,veryfast,0.068365,34022.880000,38.435200,37.986300,42.708100,38.674200
x265,4K,NocturneDance_4k,22,faster,0.417880,207963.860000,47.397100,44.556100,47.671500,47.236688
x265,4K,NocturneDance_4k,27,faster,0.233798,116352.960000,44.475100,41.609000,45.365300,44.351606
x265,4K,NocturneDance_4k,32,faster,0.128361,63880.800000,41.431300,39.461900,43.751700,41.453238
x265,4K,NocturneDance_4k,37,faster,0.068365,34022.880000,38.435200,37.986300,42.708100,38.674200
x265,4K,NocturneDance_4k,22,fast,0.417883,207965.280000,47.397100,44.556100,47.671500,47.236688
x265,4K,NocturneDance_4k,27,fast,0.233801,116354.410000,44.475100,41.609000,45.365300,44.351606
x265,4K,NocturneDance_4k,32,fast,0.128364,63882.250000,41.431300,39.461900,43.751700,41.453238
x265,4K,NocturneDance_4k,37,fast,0.068368,34024.320000,38.435200,37.986300,42.708100,38.674200
x265,4K,NocturneDance_4k,22,medium,0.417640,207844.340000,47.407800,44.556700,47.670400,47.246019
x265,4K,NocturneDance_4k,27,medium,0.233636,116272.330000,44.480700,41.611200,45.364100,44.356569
x265,4K,NocturneDance_4k,32,medium,0.128146,63773.760000,41.436800,39.461400,43.747200,41.457738
x265,4K,NocturneDance_4k,37,medium,0.068032,33857.280000,38.437000,37.984100,42.711600,38.675856
