encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,E_process_single_J,P_process_W,t_process_single_s
NVIDIA,4K,NocturneDance_4k,37,ultrafast,0.067256,33470.77,38.083792,17.295756,17.217739,35.480411,9.1168,4.56,2.0
NVIDIA,4K,NocturneDance_4k,22,fast,0.425283,211648.14,47.000426,17.314818,17.210033,43.283176,8.5402,5.69,1.5
NVIDIA,4K,NocturneDance_4k,27,fast,0.236306,117600.82,44.105541,17.309952,17.214921,40.750153,8.5608,5.71,1.5
NVIDIA,4K,NocturneDance_4k,32,fast,0.127296,63350.45,40.993076,17.297289,17.218172,38.026158,8.5582,5.71,1.5
NVIDIA,4K,NocturneDance_4k,37,fast,0.066044,32867.95,37.981948,17.294403,17.219132,35.3913,8.5467,5.7,1.5
NVIDIA,4K,NocturneDance_4k,22,medium,0.416851,207451.54,46.847611,17.310698,17.208358,43.149101,13.2457,2.04,6.497
NVIDIA,4K,NocturneDance_4k,27,medium,0.233264,116087.26,43.914243,17.304426,17.21248,40.582269,13.2895,2.04,6.502
NVIDIA,4K,NocturneDance_4k,32,medium,0.127021,63213.82,40.731228,17.292115,17.215256,37.796535,13.212,2.03,6.499
NVIDIA,4K,NocturneDance_4k,37,medium,0.066455,33072.37,37.713784,17.291409,17.21725,35.156352,13.1684,2.03,6.5
NVIDIA,4K,NocturneDance_4k,22,slow,0.416851,207451.54,46.847611,17.310698,17.208358,43.149101,13.3742,2.06,6.503
NVIDIA,4K,NocturneDance_4k,27,slow,0.233264,116087.26,43.914243,17.304426,17.21248,40.582269,13.2943,2.04,6.504
NVIDIA,4K,NocturneDance_4k,32,slow,0.127021,63213.82,40.731228,17.292115,17.215256,37.796535,13.2215,2.03,6.497
NVIDIA,4K,NocturneDance_4k,37,slow,0.066455,33072.37,37.713784,17.291409,17.21725,35.156352,13.1773,2.03,6.503
NVIDIA,4K,PierSeaSide_4k,22,ultrafast,0.271582,67510.83,45.675685,20.609724,23.852555,42.745117,9.0159,4.51,1.998
NVIDIA,4K,PierSeaSide_4k,27,ultrafast,0.144609,35947.46,43.966494,20.603318,23.886642,41.251305,9.0448,4.52,2.0
NVIDIA,4K,PierSeaSide_4k,32,ultrafast,0.083044,20643.35,41.882717,20.611167,23.882002,39.4282,9.0698,4.53,2.0
NVIDIA,4K,PierSeaSide_4k,37,ultrafast,0.049156,12219.47,39.494765,20.610295,23.885841,37.338928,9.0875,4.54,2.0
NVIDIA,4K,PierSeaSide_4k,22,fast,0.269628,67024.96,45.670284,20.610064,23.85416,42.740513,8.5845,5.72,1.5
NVIDIA,4K,PierSeaSide_4k,27,fast,0.143255,35610.87,43.950741,20.603388,23.890717,41.23778,8.6112,5.74,1.499
NVIDIA,4K,PierSeaSide_4k,32,fast,0.081899,20358.8,41.848595,20.610219,23.885549,39.398506,8.6102,5.74,1.5
NVIDIA,4K,PierSeaSide_4k,37,fast,0.048312,12009.47,39.477794,20.610696,23.884255,37.324004,8.5856,5.73,1.5
NVIDIA,4K,PierSeaSide_4k,22,medium,0.264227,65682.29,45.677406,20.608826,23.845474,42.746124,13.3318,2.05,6.502
