video_name,qp,preset,E_process_single_J,P_process_W,t_process_single_s,E_load_total_J,t_load_total_s,P_load_W,E_idle_total_J,t_idle_total_s,P_idle_W
PedestrianArea_1080p25,22,4,6.3442,4.23,1.500,14.9313,1.500,9.96,8.5871,1.500,5.73
PedestrianArea_1080p25,27,1,2.8452,4.27,0.667,21.4135,2.000,10.71,12.8781,2.000,6.44
PedestrianArea_1080p25,27,2,3.6123,4.82,0.750,15.8240,1.499,10.55,8.5994,1.499,5.73
PedestrianArea_1080p25,27,3,6.3258,4.22,1.500,14.9137,1.500,9.94,8.5879,1.500,5.73
PedestrianArea_1080p25,27,4,6.3181,4.21,1.500,14.8986,1.500,9.93,8.5805,1.500,5.72
PedestrianArea_1080p25,32,1,2.8932,4.34,0.666,21.5585,1.999,10.78,12.8789,1.999,6.44
PedestrianArea_1080p25,32,2,3.6552,4.88,0.749,15.8910,1.499,10.60,8.5806,1.499,5.72
PedestrianArea_1080p25,32,3,6.3301,4.22,1.500,14.9174,1.500,9.95,8.5874,1.500,5.73
PedestrianArea_1080p25,32,4,6.3263,4.22,1.500,14.9103,1.500,9.94,8.5840,1.500,5.72
PedestrianArea_1080p25,37,1,2.9193,4.38,0.666,21.6364,1.999,10.82,12.8786,1.999,6.44
PedestrianArea_1080p25,37,2,3.6682,4.89,0.750,15.9185,1.499,10.62,8.5822,1.499,5.73
PedestrianArea_1080p25,37,3,6.3327,4.21,1.503,14.9499,1.503,9.94,8.6172,1.503,5.73
PedestrianArea_1080p25,37,4,6.3289,4.22,1.499,14.9174,1.499,9.95,8.5885,1.499,5.73
RitualDance_2k,22,1,2.8390,4.26,0.666,21.4032,1.999,10.70,12.8863,1.999,6.44
RitualDance_2k,22,2,3.6094,4.82,0.749,15.8101,1.499,10.55,8.5913,1.499,5.73
RitualDance_2k,22,3,6.2993,4.20,1.501,14.8965,1.501,9.92,8.5972,1.501,5.73
RitualDance_2k,22,4,6.2905,4.20,1.499,14.8802,1.499,9.92,8.5897,1.499,5.73
RitualDance_2k,27,1,2.8585,4.29,0.666,21.4652,1.999,10.74,12.8896,1.999,6.45
RitualDance_2k,27,2,3.6204,4.83,0.750,15.8370,1.500,10.56,8.5962,1.500,5.73
RitualDance_2k,27,3,6.3057,4.20,1.500,14.9047,1.500,9.93,8.5990,1.500,5.73
RitualDance_2k,27,4,6.2967,4.20,1.500,14.9060,1.500,9.94,8.6094,1.500,5.74
RitualDance_2k,32,1,2.8697,4.30,0.667,21.5274,2.000,10.76,12.9183,2.000,6.46
RitualDance_2k,32,2,3.6200,4.83,0.750,15.8527,1.500,10.57,8.6128,1.500,5.74
RitualDance_2k,32,3,6.3018,4.20,1.500,14.9067,1.500,9.94,8.6049,1.500,5.73
RitualDance_2k,32,4,6.3011,4.20,1.500,14.9092,1.500,9.94,8.6081,1.500,5.74
RitualDance_2k,37,1,2.8563,4.29,0.666,21.5071,1.997,10.77,12.9382,1.997,6.48
RitualDance_2k,37,2,3.6324,4.85,0.750,15.8679,1.499,10.58,8.6030,1.499,5.74
RitualDance_2k,37,3,6.2909,4.19,1.500,14.9004,1.500,9.93,8.6095,1.500,5.74
RitualDance_2k,37,4,6.2807,4.19,1.500,14.8953,1.500,9.93,8.6146,1.500,5.74
Riverbed_1080p25,22,1,2.9150,4.37,0.667,21.6398,2.000,10.82,12.8948,2.000,6.45
Riverbed_1080p25,22,2,3.6877,4.91,0.750,15.9769,1.501,10.65,8.6016,1.501,5.73
Riverbed_1080p25,22,3,6.3897,4.26,1.501,14.9941,1.501,9.99,8.6044,1.501,5.73
Riverbed_1080p25,22,4,6.3920,4.26,1.500,14.9961,1.500,9.99,8.6041,1.500,5.73
Riverbed_1080p25,27,1,2.9217,4.38,0.667,21.6726,2.000,10.84,12.9075,2.000,6.45
Riverbed_1080p25,27,2,3.6713,4.90,0.750,15.9619,1.499,10.65,8.6194,1.499,5.75
Riverbed_1080p25,27,3,6.3634,4.24,1.500,14.9839,1.500,9.99,8.6205,1.500,5.75
Riverbed_1080p25,27,4,6.3732,4.25,1.500,14.9789,1.500,9.99,8.6056,1.500,5.74
Riverbed_1080p25,32,1,2.9541,4.42,0.668,21.7481,2.004,10.85,12.8857,2.004,6.43
Riverbed_1080p25,32,2,3.6766,4.90,0.750,15.9703,1.500,10.65,8.6171,1.500,5.74
Riverbed_1080p25,32,3,6.3610,4.24,1.501,14.9815,1.501,9.98,8.6205,1.501,5.74
Riverbed_1080p25,32,4,6.3710,4.25,1.500,14.9774,1.500,9.98,8.6064,1.500,5.74
Riverbed_1080p25,37,1,2.9519,4.43,0.667,21.7489,2.000,10.87,12.8932,2.000,6.45
Riverbed_1080p25,37,2,3.6904,4.93,0.749,15.9766,1.499,10.66,8.5958,1.499,5.74
Riverbed_1080p25,37,3,6.3791,4.25,1.501,14.9821,1.501,9.98,8.6030,1.501,5.73
Riverbed_1080p25,37,4,6.3963,4.25,1.503,15.0009,1.503,9.98,8.6046,1.503,5.72
Skater227_2k,22,1,2.9046,4.36,0.667,21.6287,2.001,10.81,12.9148,2.001,6.46
Skater227_2k,22,2,3.6386,4.85,0.750,15.8826,1.499,10.59,8.6053,1.499,5.74
Skater227_2k,22,3,6.3223,4.21,1.501,14.9373,1.501,9.95,8.6150,1.501,5.74
Skater227_2k,22,4,6.3176,4.21,1.500,14.9244,1.500,9.95,8.6069,1.500,5.74
