video_name,qp,preset,stable_core_energy_joules,iterations_needed
SparksElevator_270p,22,fast,49.988494933333335,15
SparksElevator_270p,22,faster,50.40619006666666,15
SparksElevator_270p,22,medium,54.18531839999999,15
SparksElevator_270p,22,placebo,197.7075504,15
SparksElevator_270p,22,slow,114.92172713333333,15
SparksElevator_270p,22,slower,148.41668546666668,15
SparksElevator_270p,22,superfast,47.17376433333333,15
SparksElevator_270p,22,ultrafast,12.907246399999998,15
SparksElevator_270p,22,veryfast,50.13611840000001,15
SparksElevator_270p,22,veryslow,148.65579626666664,15
SparksElevator_270p,27,fast,44.02436220000001,15
SparksElevator_270p,27,faster,43.7659078,15
SparksElevator_270p,27,medium,47.14783673333333,15
SparksElevator_270p,27,placebo,153.48194759999998,15
SparksElevator_270p,27,slow,90.86157966666666,15
SparksElevator_270p,27,slower,118.55140546666667,15
SparksElevator_270p,27,superfast,40.958407666666666,15
SparksElevator_270p,27,ultrafast,11.047001266666667,15
SparksElevator_270p,27,veryfast,44.36805053333334,15
SparksElevator_270p,27,veryslow,118.30733893333334,15
SparksElevator_270p,32,fast,37.55122633333334,15
SparksElevator_270p,32,faster,38.201204266666664,15
SparksElevator_270p,32,medium,40.335899266666665,15
SparksElevator_270p,32,placebo,116.4897896,15
SparksElevator_270p,32,slow,71.27995246666666,15
SparksElevator_270p,32,slower,92.86958640000002,15
SparksElevator_270p,32,superfast,35.27052753333334,15
SparksElevator_270p,32,ultrafast,9.505244933333332,15
SparksElevator_270p,32,veryfast,37.584449733333344,15
SparksElevator_270p,32,veryslow,91.33211493333333,15
SparksElevator_270p,37,fast,32.13632257142858,14
SparksElevator_270p,37,faster,32.256977066666664,15
SparksElevator_270p,37,medium,33.67960926666667,15
SparksElevator_270p,37,placebo,85.25314673333332,15
SparksElevator_270p,37,slow,56.03526093333334,15
SparksElevator_270p,37,slower,70.7912128,15
SparksElevator_270p,37,superfast,30.587738933333338,15
SparksElevator_270p,37,ultrafast,8.387193533333335,15
SparksElevator_270p,37,veryfast,32.14240206666667,15
SparksElevator_270p,37,veryslow,71.57862546666667,15
