video_name,qp,preset,bitrate_kbps,psnr_y,psnr_u,psnr_v
FoodMarket2_4k,27,placebo,92283.09,41.4094,44.3429,44.4124
FoodMarket2_4k,32,placebo,54817.14,39.0314,42.0506,42.2693
FoodMarket2_4k,37,placebo,31957.23,36.3000,40.3641,40.6204
Neon1224_4k,22,ultrafast,89287.06,46.0339,49.9876,49.4586
Neon1224_4k,27,ultrafast,48990.98,43.3663,47.4508,46.7973
Neon1224_4k,32,ultrafast,27615.43,40.8021,45.0863,44.4028
Neon1224_4k,37,ultrafast,16405.19,38.3548,43.0670,42.3477
Neon1224_4k,22,superfast,84579.55,46.8524,49.8076,49.3559
Neon1224_4k,27,superfast,46100.26,44.1263,47.1934,46.6414
Neon1224_4k,32,superfast,25778.68,41.3898,44.7175,44.1029
Neon1224_4k,37,superfast,15362.11,38.8070,42.7132,42.0413
Neon1224_4k,22,veryfast,84906.44,46.9208,49.9462,49.4831
Neon1224_4k,27,veryfast,46081.00,44.1948,47.3189,46.7591
Neon1224_4k,32,veryfast,25752.00,41.4511,44.8221,44.1998
Neon1224_4k,37,veryfast,15288.80,38.8499,42.7640,42.0883
Neon1224_4k,22,faster,84906.44,46.9208,49.9462,49.4831
Neon1224_4k,27,faster,46081.00,44.1948,47.3189,46.7591
Neon1224_4k,32,faster,25752.00,41.4511,44.8221,44.1998
Neon1224_4k,37,faster,15288.80,38.8499,42.7640,42.0883
Neon1224_4k,22,fast,84907.12,46.9208,49.9462,49.4831
Neon1224_4k,27,fast,46081.70,44.1948,47.3189,46.7591
Neon1224_4k,32,fast,25752.70,41.4511,44.8221,44.1998
Neon1224_4k,37,fast,15289.50,38.8499,42.7640,42.0883
Neon1224_4k,22,medium,84739.16,46.9310,49.9582,49.4938
Neon1224_4k,27,medium,46044.58,44.2036,47.3197,46.7596
Neon1224_4k,32,medium,25666.39,41.4579,44.8216,44.1984
Neon1224_4k,37,medium,15275.34,38.8536,42.7670,42.0919
Neon1224_4k,22,slow,77427.69,46.7099,49.7576,49.2523
Neon1224_4k,27,slow,40863.09,43.8763,47.0415,46.4263
Neon1224_4k,32,slow,22945.27,41.1045,44.4353,43.7667
Neon1224_4k,37,slow,13674.08,38.4454,42.4218,41.6470
Neon1224_4k,22,slower,77580.80,46.7365,49.7462,49.2360
Neon1224_4k,27,slower,40719.02,43.8974,47.0429,46.4210
Neon1224_4k,32,slower,22874.27,41.1309,44.4613,43.7908
Neon1224_4k,37,slower,13615.62,38.4852,42.4605,41.6850
Neon1224_4k,22,veryslow,77581.50,46.7365,49.7462,49.2360
Neon1224_4k,27,veryslow,40719.71,43.8974,47.0429,46.4210
Neon1224_4k,32,veryslow,22874.97,41.1309,44.4613,43.7908
Neon1224_4k,37,veryslow,13616.31,38.4852,42.4605,41.6850
Neon1224_4k,22,placebo,77447.41,46.7375,49.7524,49.2407
Neon1224_4k,27,placebo,40716.70,43.8956,47.0529,46.4315
Neon1224_4k,32,placebo,22898.63,41.1238,44.4744,43.8020
Neon1224_4k,37,placebo,13626.52,38.4719,42.4700,41.6936
NocturneDance_4k,22,ultrafast,215673.14,47.2157,44.4506,47.8259
NocturneDance_4k,27,ultrafast,120192.96,44.3649,41.6533,45.7253
NocturneDance_4k,32,ultrafast,64827.36,41.3697,39.6455,44.1921
NocturneDance_4k,37,ultrafast,34007.04,38.5096,38.2957,43.1581
NocturneDance_4k,22,superfast,207714.72,47.5143,44.7102,48.0611
NocturneDance_4k,27,superfast,116323.69,44.6520,41.8410,45.8494
NocturneDance_4k,32,superfast,63812.16,41.6706,39.7769,44.2520
