VideoName,QP,Preset,Validated_Mean_Energy_J,Std_Dev_J,Avg_Time_per_Measurement_s,Measurements_Count_Used,Passed_Validation
Crosswalk_4k,37,veryfast,2158.67422233333,1.52211052000712,48.4817793983333,3,True
CrowdRun_1080p50,22,fast,1387.581641,3.10630504551332,34.4011914456,5,True
CrowdRun_1080p50,22,faster,1386.70873016667,5.08222814659482,34.3948165258333,6,True
CrowdRun_1080p50,22,medium,1475.626553,0.436902679965459,36.903134516,3,True
CrowdRun_1080p50,22,superfast,1304.112238,0.858969416064391,32.3191838594,5,True
CrowdRun_1080p50,22,ultrafast,361.4743755,1.02759563767403,9.063979192,6,True
CrowdRun_1080p50,22,veryfast,1386.52983655556,4.45838205315028,34.3683194976667,9,True
CrowdRun_1080p50,27,fast,1175.16067914286,3.31888958725,28.5884739305714,7,True
CrowdRun_1080p50,27,faster,1173.8477028,4.97603939783365,28.6610526818,5,True
CrowdRun_1080p50,27,medium,1251.9312678,1.62783331304289,30.6168797832,5,True
CrowdRun_1080p50,27,superfast,1106.00718642857,6.82303354673782,26.8880136765714,7,True
CrowdRun_1080p50,27,ultrafast,299.4127464,1.19038848972732,7.3691481772,5,True
CrowdRun_1080p50,27,veryfast,1169.2497538,2.4205310398035,28.544281382,5,True
CrowdRun_1080p50,32,fast,977.4602765,4.48578059639331,23.4565565585,6,True
CrowdRun_1080p50,32,faster,979.747431,2.68559484987944,23.4126892628,5,True
CrowdRun_1080p50,32,medium,1044.2750244,1.71077660814126,24.9940954406,5,True
CrowdRun_1080p50,32,superfast,922.81203,0.249702031303312,22.0370486136667,3,True
CrowdRun_1080p50,32,ultrafast,247.396266,0.863617872621624,5.9567795388,5,True
CrowdRun_1080p50,32,veryfast,979.014509444444,6.14148069740299,23.5306620348889,9,True
CrowdRun_1080p50,37,fast,829.927179285714,2.71280638028572,19.4834826111429,7,True
CrowdRun_1080p50,37,faster,825.28601925,0.679044955406918,19.44756880175,4,True
CrowdRun_1080p50,37,medium,875.7541422,2.0777726915858,20.6390413714,5,True
CrowdRun_1080p50,37,superfast,785.992632,1.06885285852388,18.4123822775,4,True
CrowdRun_1080p50,37,ultrafast,213.731766222222,1.73710445440227,5.03064566833333,9,True
CrowdRun_1080p50,37,veryfast,826.6728474,2.31051182338076,19.4257147736,5,True
DinnerSceneCropped_2k,22,fast,1226.6067596,3.37658252464275,29.9610248308,5,True
DinnerSceneCropped_2k,22,faster,1230.7033562,5.24137473981676,30.0180728634,5,True
DinnerSceneCropped_2k,22,medium,1323.956358,0.867961749064247,32.24476483425,4,True
DinnerSceneCropped_2k,22,superfast,1151.2119925,4.16326783294458,27.7312334403571,14,True
DinnerSceneCropped_2k,22,ultrafast,301.007919375,1.16459324575369,7.253743346875,8,True
DinnerSceneCropped_2k,22,veryfast,1228.9566928,2.49006458194777,30.0699605416,5,True
DinnerSceneCropped_2k,27,fast,916.071507,0.297259496398349,21.4980399576667,3,True
DinnerSceneCropped_2k,27,faster,917.7501528,3.56470539999664,21.5616728962,5,True
DinnerSceneCropped_2k,27,medium,991.4395026,7.89214871125092,23.2991960645,10,True
DinnerSceneCropped_2k,27,superfast,866.699136666667,0.810273131684208,20.1809029506667,3,True
DinnerSceneCropped_2k,27,ultrafast,228.1346452,1.04675273511976,5.3563283032,5,True
DinnerSceneCropped_2k,27,veryfast,917.05652075,1.32181980205205,21.50587385025,4,True
DinnerSceneCropped_2k,32,fast,663.7721045,1.48331040784153,15.1620141325,4,True
DinnerSceneCropped_2k,32,faster,664.693550166667,1.2010769716063,15.234998788,6,True
DinnerSceneCropped_2k,32,medium,718.018288,1.83461281184687,16.354686248,4,True
