VideoName,QP,Preset,Repeat,RAPL_Core_Before_uJ,RAPL_Core_After_uJ
RollerCoaster_720p,27,placebo,2,208762405020,209428302790
RollerCoaster_720p,27,placebo,3,209428332209,210105854827
RollerCoaster_720p,27,placebo,4,210105892974,210770201515
RollerCoaster_720p,27,placebo,5,210770233192,211438305335
RollerCoaster_720p,27,placebo,6,211438337622,212103037886
RollerCoaster_720p,27,placebo,7,212103074873,212782813734
RollerCoaster_720p,27,placebo,8,212782846998,213451583872
RollerCoaster_720p,27,placebo,9,213451618662,214116674027
RollerCoaster_720p,27,placebo,10,214116697343,214798163127
RollerCoaster_720p,27,placebo,11,214798191997,215461849295
RollerCoaster_720p,27,placebo,12,215461885183,216126864255
RollerCoaster_720p,27,placebo,13,216126882565,216798602159
RollerCoaster_720p,27,placebo,14,216798665636,217469810524
RollerCoaster_720p,27,placebo,15,217469850685,218139532259
RollerCoaster_720p,32,ultrafast,1,218139566866,218196952950
RollerCoaster_720p,32,ultrafast,2,218196984627,218254268904
RollerCoaster_720p,32,ultrafast,3,218254301497,218311460164
RollerCoaster_720p,32,ultrafast,4,218311489033,218369187189
RollerCoaster_720p,32,ultrafast,5,218369220087,218426548126
RollerCoaster_720p,32,ultrafast,6,218426574737,218484043035
RollerCoaster_720p,32,ultrafast,7,218484074285,218541433452
RollerCoaster_720p,32,ultrafast,8,218541467082,218598911454
RollerCoaster_720p,32,ultrafast,9,218598974809,218665475371
RollerCoaster_720p,32,ultrafast,10,218665511198,218726643854
RollerCoaster_720p,32,ultrafast,11,218726677301,218785460659
RollerCoaster_720p,32,ultrafast,12,218785492092,218843001100
RollerCoaster_720p,32,ultrafast,13,218843033388,218901013586
RollerCoaster_720p,32,ultrafast,14,218901044958,218958737376
RollerCoaster_720p,32,ultrafast,15,218958768748,219016091111
RollerCoaster_720p,32,superfast,1,219016114305,219218099994
RollerCoaster_720p,32,superfast,2,219218154498,219419941701
RollerCoaster_720p,32,superfast,3,219419970632,219621227990
RollerCoaster_720p,32,superfast,4,219621260033,219821681273
RollerCoaster_720p,32,superfast,5,219821721739,220022405613
RollerCoaster_720p,32,superfast,6,220022438633,220223933356
RollerCoaster_720p,32,superfast,7,220223964911,220423755049
RollerCoaster_720p,32,superfast,8,220423783858,220624281758
RollerCoaster_720p,32,superfast,9,220624325275,220825293877
RollerCoaster_720p,32,superfast,10,220825321343,221024445650
RollerCoaster_720p,32,superfast,11,221024476839,221224602364
RollerCoaster_720p,32,superfast,12,221224619454,221436129960
RollerCoaster_720p,32,superfast,13,221436190018,221638839219
RollerCoaster_720p,32,superfast,14,221638876145,221839533102
RollerCoaster_720p,32,superfast,15,221839560018,222039208799
RollerCoaster_720p,32,veryfast,1,222039244627,222246031268
RollerCoaster_720p,32,veryfast,2,222246064410,222454742220
RollerCoaster_720p,32,veryfast,3,222454769381,222662928028
RollerCoaster_720p,32,veryfast,4,222662955616,222870899236
RollerCoaster_720p,32,veryfast,5,222870925847,223078277550
RollerCoaster_720p,32,veryfast,6,223078305382,223291688320
RollerCoaster_720p,32,veryfast,7,223291754909,223504051302
RollerCoaster_720p,32,veryfast,8,223504072481,223712383471
RollerCoaster_720p,32,veryfast,9,223712416857,223921982239
RollerCoaster_720p,32,veryfast,10,223922018494,224130675735
RollerCoaster_720p,32,veryfast,11,224130713638,224339537627
RollerCoaster_720p,32,veryfast,12,224339570281,224547760727
RollerCoaster_720p,32,veryfast,13,224547803513,224757464475
RollerCoaster_720p,32,veryfast,14,224757498227,224967094248
RollerCoaster_720p,32,veryfast,15,224967129404,225175704676
RollerCoaster_720p,32,faster,1,225175739161,225385269142
RollerCoaster_720p,32,faster,2,225385308449,225592632869
RollerCoaster_720p,32,faster,3,225592666194,225799431961
RollerCoaster_720p,32,faster,4,225799461014,226017758246
RollerCoaster_720p,32,faster,5,226017811285,226229199965
RollerCoaster_720p,32,faster,6,226229227309,226437372467
RollerCoaster_720p,32,faster,7,226437405670,226646008102
RollerCoaster_720p,32,faster,8,226646039840,226856360469
RollerCoaster_720p,32,faster,9,226856389094,227064755199
RollerCoaster_720p,32,faster,10,227064791149,227272459379
RollerCoaster_720p,32,faster,11,227272484648,227481212141
RollerCoaster_720p,32,faster,12,227481233503,227689274535
RollerCoaster_720p,32,faster,13,227689300780,227906193047
RollerCoaster_720p,32,faster,14,227906255486,228120778863
RollerCoaster_720p,32,faster,15,228120805047,228328908579
RollerCoaster_720p,32,fast,1,228328944223,228536525479
RollerCoaster_720p,32,fast,2,228536562588,228744250045
RollerCoaster_720p,32,fast,3,228744275069,228954455562
RollerCoaster_720p,32,fast,4,228954476924,229163882516
RollerCoaster_720p,32,fast,5,229163909005,229371276333
RollerCoaster_720p,32,fast,6,229371311794,229580891336
RollerCoaster_720p,32,fast,7,229580934610,229788684810
RollerCoaster_720p,32,fast,8,229788713314,229997225841
RollerCoaster_720p,32,fast,9,229997250561,230204200287
RollerCoaster_720p,32,fast,10,230204230255,230411452137
RollerCoaster_720p,32,fast,11,230411484791,230629160259
RollerCoaster_720p,32,fast,12,230629220012,230839624503
RollerCoaster_720p,32,fast,13,230839645621,231048921879
RollerCoaster_720p,32,fast,14,231048968876,231257422200
RollerCoaster_720p,32,fast,15,231257455281,231466227696
RollerCoaster_720p,32,medium,1,231466254979,231684319057
RollerCoaster_720p,32,medium,2,231684352015,231901342732
RollerCoaster_720p,32,medium,3,231901379719,232117832351
RollerCoaster_720p,32,medium,4,232117871841,232336277409
RollerCoaster_720p,32,medium,5,232336303532,232567717430
RollerCoaster_720p,32,medium,6,232567764305,232784256915
RollerCoaster_720p,32,medium,7,232784297808,233000273329
RollerCoaster_720p,32,medium,8,233000301466,233216185557
RollerCoaster_720p,32,medium,9,233216212962,233433477665
RollerCoaster_720p,32,medium,10,233433509464,233650496030
RollerCoaster_720p,32,medium,11,233650531796,233866645562
RollerCoaster_720p,32,medium,12,233866678338,234082684743
RollerCoaster_720p,32,medium,13,234082700978,234297767749
RollerCoaster_720p,32,medium,14,234297785755,234514224898
RollerCoaster_720p,32,medium,15,234514238265,234729919353
RollerCoaster_720p,32,slow,1,234729933513,235073890274
RollerCoaster_720p,32,slow,2,235073904862,235432362989
RollerCoaster_720p,32,slow,3,235432376478,235779711099
RollerCoaster_720p,32,slow,4,235779727334,236127772159
RollerCoaster_720p,32,slow,5,236127792667,236478848470
